"Title","Subtitle","CELEX number","EUROVOC descriptor","Subject matter","Directory code","Date of document",
"Commission Regulation (EU) 2019/2020 of 1 October 2019 laying down ecodesign requirements for light sources and separate control gears pursuant to Directive 2009/125/EC of the European Parliament and of the Council and repealing Commission Regulations (EC) No 244/2009, (EC) No 245/2009 and (EU) No 1194/2012 (Text with EEA relevance.)","C/2019/2121","32019R2020","energy saving, environmental impact, consumer information, marketing standard, labelling, lighting equipment, eco-label, energy consumption, energy efficiency","Energy, Internal market - Principles","Energy, Industrial policy and internal market, General principles and programmes, Internal market: approximation of laws, Rational utilisation and conservation of energy, Other sectors for approximation of laws","2019-10-01",
"Commission Delegated Regulation (EU) 2019/2013 of 11 March 2019 supplementing Regulation (EU) 2017/1369 of the European Parliament and of the Council with regard to energy labelling of electronic displays and repealing Commission Delegated Regulation (EU) No 1062/2010 (Text with EEA relevance.)","C/2019/1796","32019R2013","marketing standard, consumer information, energy saving, environmental impact, screen, eco-label, labelling, electronic device, energy efficiency, energy consumption","Protocol on Ireland/Northern Ireland, Energy, Internal market - Principles, Annex 2 Provisions of Union law referred to in Article 5(4), Environment, energy efficiency","Energy, Industrial policy and internal market, General principles and programmes, Internal market: approximation of laws, Rational utilisation and conservation of energy, Other sectors for approximation of laws","2019-03-11",
"Commission Delegated Regulation (EU) 2019/2017 of 11 March 2019 supplementing Regulation (EU) 2017/1369 of the European Parliament and of the Council with regard to energy labelling of household dishwashers and repealing Commission Delegated Regulation (EU) No 1059/2010 (Text with EEA relevance.)","C/2019/1807","32019R2017","environmental impact, energy saving, household electrical appliance, marketing standard, consumer information, labelling, eco-label, energy consumption, energy efficiency","Energy, Protocol on Ireland/Northern Ireland, Internal market - Principles, Annex 2 Provisions of Union law referred to in Article 5(4), Environment, energy efficiency","Industrial policy and internal market, Energy, Internal market: approximation of laws, General principles and programmes, Other sectors for approximation of laws, Rational utilisation and conservation of energy","2019-03-11",
"Commission Regulation (EU) 2019/2021 of 1 October 2019 laying down ecodesign requirements for electronic displays pursuant to Directive 2009/125/EC of the European Parliament and of the Council, amending Commission Regulation (EC) No 1275/2008 and repealing Commission Regulation (EC) No 642/2009 (Text with EEA relevance.)","C/2019/2122","32019R2021","electronic device, energy efficiency, energy consumption, eco-label, labelling, marketing standard, consumer information, screen, environmental impact, energy saving","Energy, Internal market - Principles","Energy, Industrial policy and internal market, General principles and programmes, Internal market: approximation of laws, Rational utilisation and conservation of energy, Other sectors for approximation of laws","2019-10-01",
"Council Decision (EU, Euratom) 2019/1945 of 19 November 2018 approving the conclusion, by the European Commission, of the Agreement between the European Atomic Energy Community (Euratom) and the Korean Peninsula Energy Development Organisation (KEDO)","ST/13263/2018/INIT","32019D1945","nuclear reactor, agreement (EU), energy cooperation, decommissioning of power stations, ratification of an agreement, renewal of an agreement, EAEC, international organisation","External relations, Energy","External relations, Energy, Multilateral relations, Nuclear energy, Cooperation with international and non-governmental organisations, Other measures relating to nuclear energy","2018-11-19",
"Council Decision (EU, Euratom) 2019/1946 of 19 November 2018 approving the conclusion, by the European Commission, of the Agreement between the European Atomic Energy Community (Euratom) and the Korean Peninsula Energy Development Organisation (KEDO)","ST/13261/2018/INIT","32019D1946","nuclear reactor, energy cooperation, agreement (EU), renewal of an agreement, ratification of an agreement, decommissioning of power stations, international organisation, EAEC","External relations, Energy","External relations, Energy, Multilateral relations, Nuclear energy, Cooperation with international and non-governmental organisations, Other measures relating to nuclear energy","2018-11-19",
"Commission Regulation (EU) 2019/1781 of 1 October 2019 laying down ecodesign requirements for electric motors and variable speed drives pursuant to Directive 2009/125/EC of the European Parliament and of the Council, amending Regulation (EC) No 641/2009 with regard to ecodesign requirements for glandless standalone circulators and glandless circulators integrated in products and repealing Commission Regulation (EC) No 640/2009 (Text with EEA relevance)","C/2019/2125","32019R1781","technical standard, eco-label, energy saving, market approval, technological change, electric machinery, energy consumption, technical specification, energy efficiency, EC conformity marking","Environment, Energy","Energy, Industrial policy and internal market, General principles and programmes, Internal market: approximation of laws, Rational utilisation and conservation of energy, Other sectors for approximation of laws","2019-10-01",
"Commission Regulation (EU) 2019/1784 of 1 October 2019 laying down ecodesign requirements for welding equipment pursuant to Directive 2009/125/EC of the European Parliament and of the Council (Text with EEA relevance)","C/2019/6843","32019R1784","energy consumption, labelling, eco-label, energy efficiency, technical specification, metalworking, energy saving, environmental impact, consumer information, marketing standard","Environment, Energy","Energy, Industrial policy and internal market, General principles and programmes, Internal market: approximation of laws, Rational utilisation and conservation of energy, Other sectors for approximation of laws","2019-10-01",
"Commission Regulation (EU) 2019/1782 of 1 October 2019 laying down ecodesign requirements for external power supplies pursuant to Directive 2009/125/EC of the European Parliament and of the Council and repealing Commission Regulation (EC) No 278/2009 (Text with EEA relevance)","C/2019/2126","32019R1782","energy production, labelling, eco-label, energy saving, marketing standard, household electrical appliance, consumer information, energy consumption, technical specification, energy efficiency","Environment, Energy","Energy, Industrial policy and internal market, General principles and programmes, Internal market: approximation of laws, Rational utilisation and conservation of energy, Other sectors for approximation of laws","2019-10-01",
"Commission Delegated Regulation (EU) 2019/1745 of 13 August 2019 supplementing and amending Directive 2014/94/EU of the European Parliament and of the Council as regards recharging points for L-category motor vehicles, shore-side electricity supply for inland waterway vessels, hydrogen supply for road transport and natural gas supply for road and waterborne transport and repealing Commission Delegated Regulation (EU) 2018/674 (Text with EEA relevance)","","32019R1745","hydrogen, vessel, gas supply, European standardisation body, electricity supply, European standard, technical specification, natural gas, electric vehicle, inland waterway transport","Transport, Energy","Energy, Energy, Transport policy, Electricity, Oil and gas, Inland transport, Supplies and stocks, Structural harmonisation, Technical and safety conditions","2019-08-13",
"Council Decision (EU) 2019/1133 of 25 June 2019 on the position to be taken on behalf of the European Union in the International Partnership for Energy Efficiency Cooperation (IPEEC) with regard to the extension of the Terms of Reference for the IPEEC for the period from 24 May until 31 December 2019","ST/9718/2019/INIT","32019D1133","energy cooperation, international organisation, renewal of an agreement, international cooperation, energy efficiency","External relations, Energy","External relations, Energy, Multilateral relations, General principles and programmes, Other spheres of multilateral cooperation, Rational utilisation and conservation of energy","2019-06-25",
"Commission Delegated Regulation (EU) 2019/807 of 13 March 2019 supplementing Directive (EU) 2018/2001 of the European Parliament and of the Council as regards the determination of high indirect land-use change-risk feedstock for which a significant expansion of the production area into land with high carbon stock is observed and the certification of low indirect land-use change-risk biofuels, bioliquids and biomass fuels","C/2019/2055","32019R0807","carbon, bioenergy, biofuel, reduction of gas emissions, land use, utilised agricultural area, greenhouse gas, biomass, energy crop","Energy, Environment","Environment, consumers and health protection, Energy, Environment, Other sources of energy, Space, environment and natural resources","2019-03-13",
"Commission Implementing Regulation (EU) 2019/803 of 17 May 2019 concerning the technical requirements regarding the content of quality reports on European statistics on natural gas and electricity prices pursuant to Regulation (EU) 2016/1952 of the European Parliament and of the Council (Text with EEA relevance.)","C/2019/3642","32019R0803","EU statistics, publishing of prices, electrical energy, report, natural gas, technical specification, price of energy, data collection, exchange of information","Internal market - Principles, Information and verification","Energy, Energy, Energy, Statistics, Oil and gas, Electricity, Other measures relating to oil or gas","2019-05-17",
"Commission Regulation (EU) 2019/424 of 15 March 2019 laying down ecodesign requirements for servers and data storage products pursuant to Directive 2009/125/EC of the European Parliament and of the Council and amending Commission Regulation (EU) No 617/2013 (Text with EEA relevance.)","C/2019/1955","32019R0424","environmental impact, energy saving, electrical energy, eco-label, product design, data processing, technical specification, energy efficiency, network server","Energy, Environment","Energy, General principles and programmes, Rational utilisation and conservation of energy","2019-03-15",
"Commission Implementing Decision (EU) 2018/1734 of 14 November 2018 granting derogations to the Federal Republic of Germany, the Kingdom of Spain, the Italian Republic and the Republic of Cyprus as regards the provision of statistics pursuant to Regulation (EU) 2016/1952 of the European Parliament and of the Council (notified under document C(2018) 7465) (Text with EEA relevance.)","C/2018/7465","32018D1734","Italy, electrical energy, EU statistics, derogation from EU law, Cyprus, price of energy, energy consumption, Germany, natural gas, Spain","Information and verification, Internal market - Principles, Energy","Energy, Energy, Energy, Statistics, Electricity, Oil and gas, Other measures relating to oil or gas","2018-11-14",
"Commission Implementing Decision (EU) 2018/1688 of 7 November 2018 granting derogations to Slovakia as regards the provision of statistics pursuant to Regulation (EC) No 1099/2008 of the European Parliament and of the Council on energy statistics (notified under document C(2018) 7304) (Text with EEA relevance.)","C/2018/7304","32018D1688","industrial waste, energy consumption, derogation from EU law, EU statistics, data processing, Slovakia, renewable resources","Energy","Energy, Statistics","2018-11-07",
"Commission Implementing Decision (EU) 2018/1134 of 5 July 2018 concerning the applicability of Article 34 of Directive 2014/25/EU of the European Parliament and of the Council to contracts awarded for certain activities related to the retail supply of electricity and natural gas in the Czech Republic (notified under document C(2018) 4194) (Text with EEA relevance.)","C/2018/4194","32018D1134","electricity supply, Czechia, electrical energy, gas supply, domestic market, award of contract, natural gas, retail trade","Public procurement in the European Union, Energy","Right of establishment and freedom to provide services, Energy, Energy, Public contracts, Oil and gas, Electricity, General, Supplies and stocks","2018-07-05",
"Commission Implementing Decision (EU) 2018/496 of 22 March 2018 on the establishment of the 2018 annual priority list for the development of network codes and guidelines (Text with EEA relevance. )","C/2018/1638","32018D0496","energy grid, energy supply, electricity supply, trans-European network, gas, single market, energy distribution, gas supply, electrical energy, harmonisation of standards","Protocol on Ireland/Northern Ireland, Energy, Internal market - Principles, Annex 4 Provisions of Union law referred to in Article 9","Energy, General principles and programmes, General","2018-03-22",
"Commission Regulation (EU) 2017/2195 of 23 November 2017 establishing a guideline on electricity balancing (Text with EEA relevance. )","C/2017/7774","32017R2195","energy supply, energy law, electricity supply, energy distribution, electrical energy, energy storage, European Union Agency for the Cooperation of Energy Regulators, security of supply, energy grid, trans-European network","Energy","Energy, Electricity","2017-11-23",
"Commission Regulation (EU) 2017/2196 of 24 November 2017 establishing a network code on electricity emergency and restoration (Text with EEA relevance. )","C/2017/7775","32017R2196","energy law, electricity supply, energy supply, electrical energy, energy distribution, technical specification, technical standard, energy grid, security of supply","Energy","Energy, Electricity","2017-11-24",
"Commission Implementing Regulation (EU) 2017/2169 of 21 November 2017 concerning the format and arrangements for the transmission of European Statistics on natural gas and electricity prices pursuant to Regulation (EU) 2016/1952 of the European Parliament and of the Council (Text with EEA relevance. )","C/2017/7667","32017R2169","EU statistics, publishing of prices, electrical energy, natural gas, technical specification, price of energy, data collection, exchange of information","Information and verification, Internal market - Principles, Energy","Energy, Energy, Energy, Electricity, Oil and gas, Statistics, Other measures relating to oil or gas","2017-11-21",
"Commission Regulation (EU) 2017/1485 of 2 August 2017 establishing a guideline on electricity transmission system operation (Text with EEA relevance. )","C/2017/5310","32017R1485","energy grid, security of supply, technical standard, energy supply, electricity supply, quality standard, energy distribution, electrical energy, renewable energy, professional qualifications","Energy","Energy, Energy, Electricity, General principles and programmes, General","2017-08-02",
"Commission Opinion of 6 June 2017 relating to the modified plan for the disposal of radioactive waste arising from the Comurhex II site located at Malvési in France, in accordance with Article 37 of the Euratom Treaty","C/2017/3690","32017A0608(01)","radioactive waste, radioactive pollution, public health, storage of waste, radioactive materials, nuclear safety, waste disposal","Nuclear common market, Safety at work and elsewhere","Energy, Environment, consumers and health protection, Nuclear energy, Environment, Safeguards, Pollution and nuisances, Nuclear safety and radioactive waste","2017-06-06",
"Council Decision (Euratom) 2017/956 of 29 May 2017 on the adoption of the 2016-2019 high flux reactor supplementary research programme to be implemented by the Joint Research Centre for the European Atomic Energy Community","","32017D0956","EU research policy, nuclear reactor, nuclear research, Joint Research Centre, research expenditure (EU), EAEC, research programme, nuclear safety","Nuclear common market, Research and technological development","Industrial policy and internal market, Energy, Industrial policy: general, programmes, statistics and research, Nuclear energy, Research and technological development, Nuclear research","2017-05-29",
"Council Decision (EU) 2017/783 of 25 April 2017 on the position to be adopted, on behalf of the European Union, within the EEA Joint Committee concerning an amendment to Annex IV (Energy) to the EEA Agreement (Third Energy Package)","","32017D0783","gas pipeline, electrical energy, single market, European Economic Area, market access, energy grid, natural gas, European Union Agency for the Cooperation of Energy Regulators, energy transport, revision of an agreement","European Free Trade Association (EFTA), Energy","Energy, Energy, External relations, Electricity, Oil and gas, Bilateral agreements with non-member countries, Other measures relating to oil or gas, European countries, Member countries of the European Free Trade Association (EFTA)","2017-04-25",
"Commission Regulation (EU) 2017/459 of 16 March 2017 establishing a network code on capacity allocation mechanisms in gas transmission systems and repealing Regulation (EU) No 984/2013 (Text with EEA relevance. )","C/2017/1660","32017R0459","energy transport, market access, energy grid, gas pipeline, gas supply, gas industry","Internal market - Principles, Energy","Energy, Oil and gas, Other measures relating to oil or gas","2017-03-16",
"Commission Regulation (EU) 2017/460 of 16 March 2017 establishing a network code on harmonised transmission tariff structures for gas (Text with EEA relevance. )","C/2017/1657","32017R0460","energy grid, transport price, energy transport, gas supply, gas industry, gas pipeline, trading operation","Internal market - Principles, Energy","Energy, Oil and gas, Other measures relating to oil or gas","2017-03-16",
"Commission Implementing Decision (EU) 2017/89 of 17 January 2017 on the establishment of the annual priority lists for 2017 for the development of network codes and guidelines (Text with EEA relevance. )","C/2017/0076","32017D0089","energy supply, electricity supply, trans-European network, gas, single market, energy distribution, gas supply, electrical energy, harmonisation of standards, energy grid","Internal market - Principles, Energy, Protocol on Ireland/Northern Ireland, Annex 4 Provisions of Union law referred to in Article 9","Energy, General principles and programmes, General","2017-01-17",
"Commission Regulation (EU) 2016/2281 of 30 November 2016 implementing Directive 2009/125/EC of the European Parliament and of the Council establishing a framework for the setting of ecodesign requirements for energy-related products, with regard to ecodesign requirements for air heating products, cooling products, high temperature process chillers and fan coil units (Text with EEA relevance )","C/2016/7769","32016R2281","consumer information, cold store, energy saving, EC conformity marking, environmental standard, eco-label, energy efficiency, heating, energy consumption, labelling","Environment, Energy","Energy, Industrial policy and internal market, General principles and programmes, Internal market: approximation of laws, Rational utilisation and conservation of energy, Other sectors for approximation of laws","2016-11-30",
"Council Decision (Euratom) 2016/2116 of 12 February 2016 approving the conclusion by the European Commission, on behalf of the European Atomic Energy Community, of the Agreement extending the Framework Agreement for International Collaboration on Research and Development of Generation IV nuclearenergy systems","","32016D2116","framework agreement, revision of an agreement, ratification of an agreement, nuclear energy, international cooperation, EAEC, scientific cooperation, nuclear research, agreement (EU)","External relations, Cooperation","External relations, Energy, Multilateral relations, Nuclear energy, Other spheres of multilateral cooperation, Nuclear research","2016-02-12",
"Council Decision (CFSP) 2016/2001 of 15 November 2016 on a Union contribution to the establishment and the secure management of a Low Enriched Uranium (LEU) Bank under the control of the International Atomic Energy Agency (IAEA) in the framework of the EU Strategy against the Proliferation of Weapons of Mass Destruction","","32016D2001","International Atomic Energy Agency, nuclear fuel, EU programme, nuclear non-proliferation, EU financing, supply, uranium, nuclear safety, storage, EU Member State","Nuclear common market","Environment, consumers and health protection, Energy, Energy, Environment, Nuclear energy, Nuclear energy, Pollution and nuisances, Other measures relating to nuclear energy, Fuel supplies, Nuclear safety and radioactive waste","2016-11-15",
"Commission Decision of 28 October 2016 regarding the free software licensing (European Union Public License) of SyRIO — System for Reporting the Incidents in Offshore Oil and Gas Operations","C/2016/7116","32016D1115(01)","industrial accident, open source software, exchange of information, maritime safety, mining industry, copyright","Environment, Information and verification, Energy","Science, information, education and culture, Right of establishment and freedom to provide services, Energy, Dissemination of information, Sectoral application, Oil and gas, Production and processing activities, Other measures relating to oil or gas, Other production and processing activities","2016-10-28",
"Commission Decision (EU) 2016/1756 of 28 September 2016 determining the European Union position with regard to a decision of the management entities under the Agreement between the Government of the United States of America and the European Union on the coordination of energy-efficiency labelling programmes for office equipment, on the revision of specifications for displays included in Annex C to the Agreement (Text with EEA relevance)","C/2016/5973","32016D1756","screen, United States, energy saving, office equipment, labelling, energy efficiency, eco-label, revision of an agreement, technical specification, technical cooperation","External relations, Energy","External relations, Energy, Bilateral agreements with non-member countries, General principles and programmes, North America, Rational utilisation and conservation of energy","2016-09-28",
"Commission Regulation (EU) 2016/1719 of 26 September 2016 establishing a guideline on forward capacity allocation (Text with EEA relevance)","C/2016/5946","32016R1719","electrical energy, electricity supply, energy law, single market, energy supply, energy grid, market access, trans-European network, energy transport","Internal market - Principles, Energy","Energy, Electricity","2016-09-26",
"Commission Implementing Decision (EU) 2016/1674 of 15 September 2016 exempting retail supply of electricity and gas in Germany from the application of Directive 2014/25/EU of the European Parliament and of the Council (notified under document C(2016) 5779) (Text with EEA relevance)","C/2016/5779","32016D1674","gas supply, electrical energy, derogation from EU law, electricity supply, gas, Germany, distributive trades, award of contract","Public procurement in the European Union, Energy","Right of establishment and freedom to provide services, Energy, Energy, Public contracts, Oil and gas, Electricity, General, Supplies and stocks","2016-09-15",
"Commission Regulation (EU) 2016/1447 of 26 August 2016 establishing a network code on requirements for grid connection of high voltage direct current systems and direct current-connected power park modules (Text with EEA relevance)","","32016R1447","energy consumption, energy production, energy grid, cross-border transport, electrical energy, energy distribution, electricity supply, energy law, market access","Approximation of laws, Energy, Internal market - Principles","Energy, Industrial policy and internal market, Electricity, Internal market: approximation of laws, Other sectors for approximation of laws","2016-08-26",
"Commission Regulation (EU) 2016/1388 of 17 August 2016 establishing a Network Code on Demand Connection (Text with EEA relevance)","C/2016/5239","32016R1388","market access, energy law, electricity supply, energy distribution, electrical energy, energy consumption, energy grid","Internal market - Principles, Energy","Energy, Electricity","2016-08-17",
"Commission Implementing Regulation (EU) 2016/1055 of 29 June 2016 laying down implementing technical standards with regard to the technical means for appropriate public disclosure of inside information and for delaying the public disclosure of inside information in accordance with Regulation (EU) No 596/2014 of the European Parliament and of the Council (Text with EEA relevance)","C/2016/3926","32016R1055","market supervision, stock-exchange transaction, tradeable emission permit, disclosure of information, financial instrument, technical specification, confidentiality, data transmission, price of energy, exchange of information","Energy, Internal market - Principles, Freedom of establishment","Energy, Right of establishment and freedom to provide services, General principles and programmes, Sectoral application, Service activities, Stock exchanges and other securities markets","2016-06-29",
"Commission Regulation (EU) 2016/631 of 14 April 2016 establishing a network code on requirements for grid connection of generators (Text with EEA relevance)","C/2016/2001","32016R0631","electricity supply, market access, harmonisation of standards, cross-border transport, electrical energy, energy distribution, transport network, energy grid, energy production","Approximation of laws, Internal market - Principles, Energy","Industrial policy and internal market, Energy, Internal market: approximation of laws, Electricity, Other sectors for approximation of laws","2016-04-14",
"Commission Delegated Regulation (EU) 2015/2402 of 12 October 2015 reviewing harmonised efficiency reference values for separate production of electricity and heat in application of Directive 2012/27/EU of the European Parliament and of the Council and repealing Commission Implementing Decision 2011/877/EU","","32015R2402","energy efficiency, thermal energy, energy production, electrical energy","Energy, Internal market - Principles","Energy, General principles and programmes, Rational utilisation and conservation of energy","2015-10-12",
"Commission Opinion of 4 December 2015 relating to the plan for the disposal of radioactive waste arising from the decommissioning and the dismantling of the La Hague UP2-400 Reprocessing Plant, located in France","","32015A1205(01)","public health, France, radioactive pollution, radioactive waste, waste disposal, nuclear safety, storage of waste, radioactive materials","Nuclear common market, Safety at work and elsewhere","Energy, Environment, consumers and health protection, Nuclear energy, Environment, Safeguards, Pollution and nuisances, Nuclear safety and radioactive waste","2015-12-04",
"Commission Implementing Decision (EU) 2015/1960 of 29 October 2015 on the establishment of the annual priority lists for 2016 for the development of network codes and guidelines (Text with EEA relevance)","","32015D1960","energy grid, gas, trans-European network, energy supply, harmonisation of standards, electrical energy, energy distribution, gas supply","Protocol on Ireland/Northern Ireland, Energy, Internal market - Principles, Annex 4 Provisions of Union law referred to in Article 9","Energy, General principles and programmes, General","2015-10-29",
"Council Decision (EU) 2015/1773 of 1 October 2015 on the position to be adopted, on behalf of the European Union, within the EEA Joint Committee concerning an amendment to Annex XXI (Statistics) to the EEA Agreement (Energy Statistics)","","32015D1773","EU statistics, European Economic Area, energy market, revision of an agreement","European Free Trade Association (EFTA), Information and verification","External relations, Energy, Bilateral agreements with non-member countries, Statistics, European countries, Member countries of the European Free Trade Association (EFTA)","2015-10-01",
"Commission Implementing Decision (EU) 2015/1504 of 7 September 2015 granting derogations to certain Member States as regards the provision of statistics pursuant to Regulation (EC) No 1099/2008 of the European Parliament and of the Council on energy statistics (notified under document C(2015) 6105) (Text with EEA relevance)","","32015D1504","Slovakia, Belgium, Cyprus, EU statistics, data processing, derogation from EU law, Estonia, energy consumption, household","Energy","Energy, Statistics","2015-09-07",
"Commission Regulation (EU) 2015/1222 of 24 July 2015 establishing a guideline on capacity allocation and congestion management (Text with EEA relevance)","","32015R1222","energy grid, electrical energy, energy distribution, electricity supply, energy law, energy market, energy transport, market access","Energy, Internal market - Principles","Energy, Electricity","2015-07-24",
"Commission Regulation (EU) 2015/1189 of 28 April 2015 implementing Directive 2009/125/EC of the European Parliament and of the Council with regard to ecodesign requirements for solid fuel boilers (Text with EEA relevance)","","32015R1189","energy consumption, boiler, hard energy, marketing, energy saving, environmental impact, EC conformity marking","Energy, Environment","Industrial policy and internal market, Energy, Internal market: approximation of laws, General principles and programmes, Other sectors for approximation of laws, Rational utilisation and conservation of energy","2015-04-28",
"Commission Regulation (EU) 2015/1188 of 28 April 2015 implementing Directive 2009/125/EC of the European Parliament and of the Council with regard to ecodesign requirements for local space heaters (Text with EEA relevance)","","32015R1188","marketing, energy saving, environmental impact, EC conformity marking, reduction of gas emissions, boiler, hard energy, energy consumption","Energy, Environment","Industrial policy and internal market, Energy, Internal market: approximation of laws, General principles and programmes, Other sectors for approximation of laws, Rational utilisation and conservation of energy","2015-04-28",
"Commission Regulation (EU) 2015/1185 of 24 April 2015 implementing Directive 2009/125/EC of the European Parliament and of the Council with regard to ecodesign requirements for solid fuel local space heaters (Text with EEA relevance)","","32015R1185","marketing, energy saving, environmental impact, EC conformity marking, reduction of gas emissions, hard energy, energy consumption, thermal equipment","Energy, Environment","Industrial policy and internal market, Energy, Internal market: approximation of laws, General principles and programmes, Other sectors for approximation of laws, Rational utilisation and conservation of energy","2015-04-24",
"Commission Regulation (EU) 2015/1095 of 5 May 2015 implementing Directive 2009/125/EC of the European Parliament and of the Council with regard to ecodesign requirements for professional refrigerated storage cabinets, blast cabinets, condensing units and process chillers (Text with EEA relevance)","","32015R1095","environmental impact, cold store, energy saving, energy consumption, refrigeration industry, EC conformity marking","Approximation of laws, Environment, Energy","Energy, Industrial policy and internal market, General principles and programmes, Internal market: approximation of laws, Rational utilisation and conservation of energy, Other sectors for approximation of laws","2015-05-05",
"Council Regulation (EU) 2015/802 of 19 May 2015 suspending the autonomous Common Customs Tariff duties on certain heavy oils and similar products","","32015R0802","petroleum product, Combined Nomenclature, CCT duties, import (EU), suspension of customs duties","Customs duties: suspensions","Customs Union and free movement of goods, Energy, Application of the Common Customs Tariff, Oil and gas, Tariff derogations, Other measures relating to oil or gas, Tariff suspensions","2015-05-19",
"Commission Regulation (EU) 2015/703 of 30 April 2015 establishing a network code on interoperability and data exchange rules (Text with EEA relevance)","C/2015/2823","32015R0703","energy transport, energy grid, exchange of information, gas supply, gas industry, gas pipeline, trading operation","Internal market - Principles, Energy","Energy, Oil and gas, Other measures relating to oil or gas","2015-04-30",
"Council Directive (EU) 2015/652 of 20 April 2015 laying down calculation methods and reporting requirements pursuant to Directive 98/70/EC of the European Parliament and of the Council relating to the quality of petrol and diesel fuels","","32015L0652","petrol, diesel fuel, approximation of laws, reduction of gas emissions, environmental standard, qualitative analysis, quality standard","Energy, Protocol on Ireland/Northern Ireland, Approximation of laws, Annex 2 Provisions of Union law referred to in Article 5(4), Environment, energy efficiency","Environment, consumers and health protection, Energy, Environment, Oil and gas, Pollution and nuisances, Other measures relating to oil or gas, Monitoring of atmospheric pollution","2015-04-20",
"Commission Opinion of 26 February 2015 relating to the plan for the disposal of radioactive waste arising from the European Spallation Source Facility (Linear Accelerator), located at Lund in Sweden","","32015A0228(01)","nuclear safety, Sweden, nuclear fission, Denmark, internal border of the EU, radioactive waste","Safety at work and elsewhere","Energy, Nuclear energy, Safeguards","2015-02-26",
"Commission Implementing Regulation (EU) No 1348/2014 of 17 December 2014 on data reporting implementing Article 8(2) and Article 8(6) of Regulation (EU) No 1227/2011 of the European Parliament and of the Council on wholesale energy market integrity and transparency  Text with EEA relevance","","32014R1348","market supervision, wholesale trade, administrative transparency, disclosure of information, price of energy","Protocol on Ireland/Northern Ireland, Energy, Annex 4 Provisions of Union law referred to in Article 9","Energy, General principles and programmes, General","2014-12-17",
"Commission Regulation (EU) No 1307/2014 of 8 December 2014 on defining the criteria and geographic ranges of highly biodiverse grassland for the purposes of Article 7b(3)(c) of Directive 98/70/EC of the European Parliament and of the Council relating to the quality of petrol and diesel fuels and Article 17(3)(c) of Directive 2009/28/EC of the European Parliament and of the Council on the promotion of the use of energy from renewable sources","","32014R1307","exploitation of resources, biodiversity, quality standard, grassland, biotope, sensitive area, biofuel, raw material","Energy, Environment","Environment, consumers and health protection, Energy, Environment, Other sources of energy, Space, environment and natural resources, Management and efficient use of space, the environment and natural resources","2014-12-08",
"Commission Regulation (EU) No 1253/2014 of 7 July 2014 implementing Directive 2009/125/EC of the European Parliament and of the Council with regard to ecodesign requirements for ventilation units  Text with EEA relevance","","32014R1253","EC conformity marking, technical specification, marketing standard, electrical energy, energy saving, air conditioning, eco-label, product design","Environment, Energy, Internal market - Principles","Energy, Industrial policy and internal market, General principles and programmes, Internal market: approximation of laws, Rational utilisation and conservation of energy, Other sectors for approximation of laws","2014-07-07",
"Commission Delegated Regulation (EU) No 1254/2014 of 11 July 2014 supplementing Directive 2010/30/EU of the European Parliament and of the Council with regard to energy labelling of residential ventilation units  Text with EEA relevance","","32014R1254","product design, technical specification, eco-label, air conditioning, electrical energy, energy saving, marketing standard","Internal market - Principles, Energy, Environment","Industrial policy and internal market, Energy, Internal market: approximation of laws, General principles and programmes, Other sectors for approximation of laws, Rational utilisation and conservation of energy","2014-07-11",
"Commission Opinion of 30 October 2014 relating to the plan for the disposal of radioactive waste arising from the clean-out and partial dismantling as well as the partial reallocation into a temporary storage facility of the Sellafield MOX Plant in the United Kingdom","","32014A1122(01)","nuclear safety, United Kingdom, decommissioning of power stations, nuclear fuel, radioactive waste","Nuclear common market, Safety at work and elsewhere","Energy, Nuclear energy, Safeguards","2014-10-30",
"2014/761/EU: Commission Recommendation of 29 October 2014 on the application of internal energy market rules between the EU Member States and the Energy Community Contracting Parties","","32014H0761","security of supply, energy grid, gas, trans-European network, electricity supply, energy cooperation, domestic market, cross-border cooperation","Energy, Internal market - Principles","Industrial policy and internal market, Energy, Internal market: approximation of laws, Electricity, Other sectors for approximation of laws","2014-10-29",
"Commission Implementing Regulation (EU) No 1113/2014 of 16 October 2014 establishing the form and technical details of the notification referred to in Articles 3 and 5 of Regulation (EU) No 256/2014 of the European Parliament and of the Council and repealing Commission Regulations (EC) No 2386/96 and (EU, Euratom) No 833/2010","","32014R1113","exchange of information, energy market, form, technical specification, disclosure of information, energy industry","Energy, Information and verification","Energy, Statistics","2014-10-16",
"2014/724/EU: Commission Recommendation of 10 October 2014 on the Data Protection Impact Assessment Template for Smart Grid and Smart Metering Systems","","32014H0724","energy grid, energy consumption, electronic device, personal data, disclosure of information, measuring equipment, data protection, impact study","Energy, Information and verification","Energy, General principles and programmes","2014-10-10",
"2014/713/EU: Commission Decision of 13 October 2014 on the establishment of the annual priority lists for the development of network codes and guidelines for 2015  Text with EEA relevance","","32014D0713","electrical energy, harmonisation of standards, trans-European network, gas, energy grid","Energy, Internal market - Principles","Energy, General principles and programmes, General","2014-10-13",
"2014/536/EU: Commission Decision of 14 August 2014 granting the Hellenic Republic a derogation from certain provisions of Directive 2009/72/EC of the European Parliament and of the Council","","32014D0536","energy grid, energy production, regions of Greece, power plant, electrical energy, island, derogation from EU law, market access","Energy, Internal market - Principles","Energy, Electricity","2014-08-14",
